0,35
0,66
1,12
1,13
1,14
1,15
1,16
1,18
1,19
1,20
1,22
1,23
1,24
1,53
1,54
1,55
1,56
1,57
1,67
1,68
1,77
1,78
1,79
1,80
1,81
2,35
2,36
2,44
2,45
2,46
2,51
2,52
2,53
2,54
2,57
2,58
2,59
2,60
2,71
2,72
2,79
2,80
3,10
3,11
3,12
3,19
3,20
3,21
3,22
3,23
3,24
3,21
3,22
3,79
3,80
3,81
3,85
3,86
3,87
4,19
4,20
4,21
4,22
4,23
4,24
4,84
4,85
4,86
5,4
5,37
5,38
5,39
5,54
5,55
5,56
5,57
5,98
5,99
6,25
6,48
6,49
6,50
6,51
6,52
6,53
6,54
6,69
6,70
6,71
7,28
7,29
7,30
7,37
7,38
7,39
7,46
7,76
7,77
7,78
8,2
8,3
8,25
8,26
8,27
8,33
8,34
9,2
9,3
9,4
9,4
9,40
9,41
9,48
9,49
9,60
9,87
9,88
9,89
9,90
9,91
10,44
10,45
10,72
10,73
11,60
11,61
11,69
11,70
11,89
11,90
12,24
12,25
12,31
12,32
12,33
12,34
12,52
12,53
12,54
12,55
12,56
13,23
13,43
13,44
13,45
13,63
13,64
13,65
13,66
13,67
13,68
13,69
13,70
13,71
13,72
13,75
13,76
13,77
13,78
14,0
14,1
14,2
14,3
14,4
14,5
14,6
14,6
14,8
14,9
14,10
14,11
14,67
14,68
14,69
14,70
14,71
14,78
14,79
14,80
15,2
15,3
15,32
15,33
15,34
16,0
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,22
16,23
16,24
16,26
16,27
16,28
17,0
17,1
17,12
17,13
17,38
17,39
17,40
17,47
17,48
17,49
17,69
17,70
17,71
17,73
18,14
18,15
18,16
18,17
18,28
18,29
18,30
18,31
18,47
18,48
18,49
18,50
18,54
18,55
18,56
18,70
19,69
19,70
19,71
19,72
19,73
19,84
19,85
20,5
20,6
20,7
20,42
20,43
20,95
20,96
21,2
21,3
21,4
21,5
21,6
21,7
21,8
21,10
21,11
21,12
21,13
21,82
21,83
21,84
22,4
22,5
22,5
22,6
22,8
22,16
22,17
22,18
22,19
22,30
22,31
22,32
22,33
22,34
22,35
22,45
22,63
22,64
22,65
22,66
22,64
22,65
22,66
22,67
22,68
22,73
22,74
23,33
23,34
23,35
23,36
23,38
23,39
23,40
23,41
23,42
23,43
23,96
23,97
23,98
23,99
24,2
24,14
24,15
24,16
24,54
24,55
24,56
24,92
24,93
24,94
24,95
24,96
24,97
24,95
24,96
24,97
24,98
24,99
24,99
25,17
25,18
25,19
25,19
25,45
25,46
25,47
25,48
25,49
25,50
25,51
25,73
25,74
25,75
25,76
25,77
25,78
25,82
25,83
25,84
25,85
25,86
25,85
25,86
25,87
25,88
25,89
26,26
26,27
26,28
26,29
